1.00E+003,1.76E+005,2.79E+007,8.47E+010,3.20E+011
9.46E-003,-1.34E-001,1.10E-001,-6.65E-002,-1.40E-001
4.27E-002,0,-1.91E-001,-9.74E-002,5.72E-002
1.80E-003,-1.25E-002,-2.08E-004,1.23E-003,1.13E-003
-7.99E-006,0,4.84E-006,4.50E-006,-2.08E-006
3.37E-003,-1.93E-002,2.11E-003,5.36E-003,3.42E-003
2.26E-002,-6.00E-002,2.21E-004,2.56E-003,-1.16E-002
3.79E-002,-2.00E-002,-1.62E-001,-9.82E-002,5.52E-002
-1.92E-002,5.88E-002,-9.22E-002,1.01E-001,-1.01E-002
-9.24E-003,0,-8.30E-003,6.26E-003,-4.39E-002
-2.11E+002,9.23E+001,2.14E+002,1.16E+001,1.96E+002
1.03E-002,0,2.35E-001,1.76E-001,3.25E-002
2.89E-002,0,-7.91E-002,-7.13E-002,5.65E-002
-7.63E+001,0,1.10E+002,1.06E+002,8.82E+001
-1.85E-001,3.30E-001,-1.27E+000,3.33E-001,2.88E-001
-2.03E-002,1.05E-001,-1.85E+000,-1.15E-001,-3.14E-002
1.45E-002,0,6.66E-002,-4.24E-003,0
-3.63E+000,-1.48E+001,-1.87E+002,-6.75E-001,-2.00E+002
-2.89E-002,-9.07E-002,-4.22E-002,-4.17E-002,6.07E-002
-1.74E+002,-7.20E+001,-2.17E+002,1.34E+002,5.12E+001
-1.08E-001,2.09E-001,-1.28E-001,-6.59E-002,-4.61E-002
-2.00E-003,2.83E-002,-6.18E-003,-1.93E-002,-9.70E-003
3.40E-003,0,-1.75E-002,-8.59E-003,3.49E-003
-1.61E-002,8.57E-002,-4.36E-002,8.64E-002,0
-9.61E-003,-2.48E-002,-5.29E-002,8.57E-002,0
-1.05E-001,3.83E-001,3.12E-001,4.55E-002,-7.33E-002
4.58E-003,2.94E-002,-2.14E-002,-3.87E-002,2.12E-002
4.58E-003,0,-2.45E-002,-1.29E-002,7.03E-003
1.78E-002,-3.97E-003,-3.67E-003,-9.18E-002,0
-4.23E-003,4.36E-002,-8.83E-002,4.26E-002,0
-3.57E-003,0,3.40E-002,4.34E-002,-6.92E-003
-3.61E-004,0,5.13E-003,5.69E-003,0
1.05E-002,0,-1.47E-002,6.65E-003,-7.29E-003
4.57E-003,0,8.56E-003,-1.02E-002,0
-2.18E-005,0,1.96E-003,2.71E-003,-2.92E-003
1.51E-003,0,-4.50E-003,-4.71E-003,2.71E-003
2.17E-003,0,-1.02E-001,-1.46E-002,-5.99E-003
-1.14E-006,0,-1.69E-005,-6.41E-006,0
6.58E-005,0,-1.43E-003,1.52E-003,8.21E-003
